,0
HDFCBANK.NS,0.03625661173223773
HINDUNILVR.NS,0.033710071929952394
ICICIBANK.NS,0.0323068618002673
NESTLEIND.NS,0.031860616246667646
MARUTI.NS,0.031167523723718796
BHARTIARTL.NS,0.030895100276056676
SUNPHARMA.NS,0.02855453943832063
RELIANCE.NS,0.028344713392564592
TATACONSUM.NS,0.02737184480436847
KOTAKBANK.NS,0.026321584972007712
TCS.NS,0.026150406925866853
ITC.NS,0.0260060462060618
GRASIM.NS,0.025273244008565215
HCLTECH.NS,0.02506539907403405
EICHERMOT.NS,0.024859492143458353
INDUSINDBK.NS,0.024628951287201842
SBILIFE.NS,0.02408645273499581
ULTRACEMCO.NS,0.024039757003071923
ASIANPAINT.NS,0.02334557396241461
INFY.NS,0.02327701726887664
SBIN.NS,0.02280595967166607
WIPRO.NS,0.022681744291852626
TITAN.NS,0.021894067077861394
BAJAJFINSV.NS,0.021864071611012593
LT.NS,0.021751096129585524
APOLLOHOSP.NS,0.02031971122830642
DRREDDY.NS,0.019164955443711273
AXISBANK.NS,0.019158305467309338
HDFCLIFE.NS,0.01766840149119996
TATASTEEL.NS,0.017657534522226456
CIPLA.NS,0.01661377089068974
JSWSTEEL.NS,0.01619908106254319
COALINDIA.NS,0.01587702713780769
TECHM.NS,0.01579543913394753
BAJAJ-AUTO.NS,0.015483957023412133
ONGC.NS,0.014910045278737499
POWERGRID.NS,0.014542109325233643
NTPC.NS,0.01396288128517453
HINDALCO.NS,0.01360361810900908
HEROMOTOCO.NS,0.01220456595429121
TATAMOTORS.NS,0.012173492054260293
BAJFINANCE.NS,0.01184487405958892
TRENT.NS,0.011313066847080822
ADANIENT.NS,0.010622986666638062
DIVISLAB.NS,0.010490292542331088
SHRIRAMFIN.NS,0.010027749609764904
M&M.NS,0.009819365724409886
ADANIPORTS.NS,0.009592238130056961
BEL.NS,0.006435783299579894
