,0
ITC.NS,0.06981967835227536
LT.NS,0.049794780671340085
BHARTIARTL.NS,0.04645790313335245
NTPC.NS,0.041589198149545814
HDFCBANK.NS,0.04120270480784905
SUNPHARMA.NS,0.03859504956776426
INFY.NS,0.03769979184407736
TATACONSUM.NS,0.0355368510897402
POWERGRID.NS,0.03375026315170117
TITAN.NS,0.031990131616121735
HINDALCO.NS,0.03057368056377771
TRENT.NS,0.028722893671137995
TCS.NS,0.026645389531780014
ULTRACEMCO.NS,0.02458799504321492
HEROMOTOCO.NS,0.024112403684814834
BAJAJFINSV.NS,0.023556124224994625
NESTLEIND.NS,0.022276876223813434
SBILIFE.NS,0.0221092411704748
DIVISLAB.NS,0.021618410953153155
CIPLA.NS,0.020845946359135753
BAJAJ-AUTO.NS,0.020398476511971003
RELIANCE.NS,0.01933727024210588
SHRIRAMFIN.NS,0.01841378687785339
TECHM.NS,0.017474935808989907
DRREDDY.NS,0.01602599860380063
ICICIBANK.NS,0.015921605230847145
HCLTECH.NS,0.01564247534762776
AXISBANK.NS,0.01562356920285866
M&M.NS,0.015447011400706815
GRASIM.NS,0.015061403814557619
COALINDIA.NS,0.014744537887017578
MARUTI.NS,0.01435677983335527
HINDUNILVR.NS,0.014101698451537383
APOLLOHOSP.NS,0.013089468303989717
TATASTEEL.NS,0.01282428757102617
INDUSINDBK.NS,0.01136922625342839
TATAMOTORS.NS,0.01099282124148743
KOTAKBANK.NS,0.010255241778796033
EICHERMOT.NS,0.00931736180093268
ONGC.NS,0.008416500573198607
HDFCLIFE.NS,0.008078508945674679
WIPRO.NS,0.007610882086859734
ADANIPORTS.NS,0.0057914807341850555
BAJFINANCE.NS,0.004529255151066567
BEL.NS,0.0043668032440585735
ADANIENT.NS,0.004021534642425347
JSWSTEEL.NS,0.0026282949583102304
SBIN.NS,0.0017787585837336652
ASIANPAINT.NS,0.0008947111075315471
