,0
HDFCBANK.NS,0.03602654245866523
ICICIBANK.NS,0.03499374360053885
NESTLEIND.NS,0.03471794122319699
MARUTI.NS,0.03179494889215135
BHARTIARTL.NS,0.031231432610774924
HINDUNILVR.NS,0.030508027873689298
ITC.NS,0.02794733580281506
SBILIFE.NS,0.027196012122695075
SUNPHARMA.NS,0.027155779162719468
TATACONSUM.NS,0.02644877926624754
KOTAKBANK.NS,0.025894939140693404
RELIANCE.NS,0.02572345189617788
GRASIM.NS,0.025375191496369628
INDUSINDBK.NS,0.025165899813571375
INFY.NS,0.024226633277505346
EICHERMOT.NS,0.024094232289696038
TITAN.NS,0.023820998359751964
TCS.NS,0.023598226614080575
HCLTECH.NS,0.023457006398587877
ULTRACEMCO.NS,0.022952842165878923
ASIANPAINT.NS,0.022732495724830087
BAJAJFINSV.NS,0.022293404776664374
WIPRO.NS,0.021999354071019182
DRREDDY.NS,0.021267458522267878
LT.NS,0.02037451035722606
AXISBANK.NS,0.020068198602856663
APOLLOHOSP.NS,0.019295395349087037
SBIN.NS,0.0190276423011618
CIPLA.NS,0.01892563790467493
BAJAJ-AUTO.NS,0.01857065225913588
HDFCLIFE.NS,0.018054287202706836
ONGC.NS,0.017267265966433392
NTPC.NS,0.016959899208158786
JSWSTEEL.NS,0.01640998338768233
TATASTEEL.NS,0.016186651593834887
TECHM.NS,0.014157478121678231
TATAMOTORS.NS,0.01400871192069574
HINDALCO.NS,0.013702510775915847
DIVISLAB.NS,0.013022057318947068
HEROMOTOCO.NS,0.012580173758396058
COALINDIA.NS,0.01232479029507335
POWERGRID.NS,0.012198195670028068
TRENT.NS,0.012152367660736635
SHRIRAMFIN.NS,0.011882964778194829
BAJFINANCE.NS,0.009549926460389924
ADANIENT.NS,0.00910326827137059
M&M.NS,0.008740777071350112
ADANIPORTS.NS,0.008215808073788855
BEL.NS,0.006598168129885419
