,0
ITC.NS,0.06693113251604221
BHARTIARTL.NS,0.052776918371225584
LT.NS,0.04786795168335931
HDFCBANK.NS,0.04432867969606993
SUNPHARMA.NS,0.04019303391959904
INFY.NS,0.03954447562737436
NTPC.NS,0.03866796480531935
POWERGRID.NS,0.03565907410963807
TATACONSUM.NS,0.03477308158756708
HINDALCO.NS,0.02995159354891272
TRENT.NS,0.029837359723890566
TCS.NS,0.029589135332414786
TITAN.NS,0.028771593803557042
BAJAJFINSV.NS,0.02511276168706142
CIPLA.NS,0.023019418160082378
HEROMOTOCO.NS,0.0216988878465828
BAJAJ-AUTO.NS,0.021529057324981216
ULTRACEMCO.NS,0.020523858242715496
DIVISLAB.NS,0.02019653098412711
NESTLEIND.NS,0.019339158792371976
RELIANCE.NS,0.01909625619800905
SBILIFE.NS,0.018814289941188698
TECHM.NS,0.018199700580991462
SHRIRAMFIN.NS,0.01745788875261988
MARUTI.NS,0.017308757130518163
AXISBANK.NS,0.01713988886371613
M&M.NS,0.01612806044621503
HCLTECH.NS,0.015989784503924805
GRASIM.NS,0.01587383910625297
COALINDIA.NS,0.013978573833031777
DRREDDY.NS,0.013597280867838292
HINDUNILVR.NS,0.013543855364656174
APOLLOHOSP.NS,0.013333788581212551
TATASTEEL.NS,0.013217085714187754
ICICIBANK.NS,0.012458162632556459
KOTAKBANK.NS,0.01093423369437637
ONGC.NS,0.01031343904834974
INDUSINDBK.NS,0.009728212153394557
EICHERMOT.NS,0.009474720497920525
HDFCLIFE.NS,0.009419960473744224
TATAMOTORS.NS,0.0091900144095257
WIPRO.NS,0.00681421761764683
ADANIPORTS.NS,0.006170128706562329
JSWSTEEL.NS,0.005389370036626321
BEL.NS,0.004483255376589467
ADANIENT.NS,0.0037666920042480696
SBIN.NS,0.00320724675548155
BAJFINANCE.NS,0.0031933823137018625
ASIANPAINT.NS,0.0014662466320191712
