Date,portfolio_value,daily_returns,portfolio_value_after_tc_5bps,portfolio_value_after_tc_10bps,portfolio_value_after_tc_20bps,portfolio_value_after_tc_50bps
2024-04-18,1.041871168406643,-0.009839016588959804,1.0413527994231013,1.040834559425225,1.0397984663864712,1.0366932829261901
2024-04-19,1.0466277442284357,0.004565416498727881,1.0461070086745838,1.0455864026952715,1.044545579460264,1.0414262195441817
2024-04-22,1.0578409914909874,0.010713691973470496,1.0573146769368122,1.0567884933453975,1.0557365190508514,1.0525837392734738
2024-04-23,1.0610041842850053,0.002990234656684576,1.0604762959268097,1.0599485389229844,1.0588934189784447,1.0557312116497122
2024-04-24,1.0627887528972708,0.0016819618986405604,1.06225997665097,1.0617313319799724,1.0606744373638874,1.0575069113229123
2024-04-25,1.072260968378282,0.008912604179512673,1.0717274793585985,1.0711941230868967,1.070127808787439,1.0669320518406324
2024-04-26,1.064695915770765,-0.007055234528361765,1.0641661906412334,1.0636365973231157,1.062577806121122,1.0594045959890706
2024-04-29,1.07048798921975,0.005440119909535079,1.069955382321995,1.0694229079527233,1.0683583567996315,1.0651678840239636
2024-04-30,1.071567384537027,0.0010083208108329078,1.070763858615602,1.0699607344730784,1.0683556911228484,1.0635501933167575
2024-05-02,1.0758611458697713,0.004006991435820284,1.0750544002268607,1.074248057972776,1.0726365832275877,1.0678118298329429
2024-05-03,1.069599695863747,-0.005819942499143194,1.0687976454340895,1.0679959960455583,1.0663938999907256,1.0615972263834101
2024-05-06,1.0636584739514683,-0.005554621916268321,1.0628608786087055,1.0620636820794367,1.0604704850624624,1.0557004551634912
2024-05-07,1.0588634100472272,-0.004508086027301239,1.0580694103328845,1.0572758076341502,1.0556897928863869,1.0509412666925533
2024-05-08,1.0599154412824627,0.0009935476334843596,1.059120652691583,1.0583262615107656,1.0567386709818027,1.0519854269010067
2024-05-09,1.042255915439227,-0.01666125914900185,1.0414743690270285,1.0406932134035403,1.039132074131803,1.0344580250824356
2024-05-10,1.052071221316866,0.00941736643778368,1.0512823147957155,1.0504938027434758,1.0489179616511564,1.044199895369143
2024-05-13,1.0528243740560592,0.0007158761915857514,1.052034902775513,1.0512458262462685,1.0496688570468293,1.0449474132134942
2024-05-14,1.0595827122173873,0.006419245534078355,1.0587881731268491,1.057994031321618,1.056406939169688,1.0516551872291113
2024-05-15,1.0597850760949246,0.00019098450286514357,1.058990385259733,1.0581960917857245,1.0566086965237886,1.0518560370722299
2024-05-16,1.0695299422864148,0.009195134382716574,1.068727944162201,1.0679263470529599,1.066324355478272,1.0615279946843807
2024-05-17,1.0714465098582509,0.0017919718710621702,1.0706430745759579,1.0698400410272446,1.0682351787287174,1.0634302229912003
2024-05-21,1.080754509229629,0.008687320632188689,1.0799440942474314,1.0791340844888022,1.0775152802369172,1.0726685823082844
2024-05-22,1.085090838618026,0.0040123167207399835,1.0842771719942448,1.0834639122199168,1.0818386128126642,1.0769724683968924
2024-05-23,1.099689189109081,0.01345357455017071,1.0988645757607176,1.0980403747353873,1.096393209241393,1.0914615977889515
2024-05-24,1.096500000796534,-0.0029000815358845022,1.0956777788941165,1.0948559681189616,1.0932135795392028,1.0882962701620766
2024-05-27,1.0927114489260374,-0.0034551316623296913,1.0918920679085484,1.0910730965978233,1.0894363826868483,1.0845360632610443
2024-05-28,1.0922274415383748,-0.00044294162757996247,1.0914084234588473,1.0905898149046074,1.0889538259623561,1.0840556770920144
2024-05-29,1.0870116273809425,-0.00477539197338428,1.086196520433778,1.0853818210562574,1.0837536446024694,1.0788788863129277
2024-05-30,1.0689933474958575,-0.016575977138807985,1.0681917517428148,1.0673905568035509,1.0657893689654392,1.060995414557862
2024-05-31,1.0690139520415949,1.927471839335837e-05,1.0678155193322143,1.0666180827145815,1.0642261955674532,1.0570743834900396
2024-06-03,1.0956589880785423,0.024924872108601503,1.0944306845871494,1.0932034020149644,1.0907518973865955,1.0834218273078071
2024-06-04,1.040990835992769,-0.049895225321561765,1.0398238189808426,1.03865777194913,1.0363285856965707,1.0293642511159862
2024-06-05,1.0776283260757347,0.03519482479211766,1.076420236104544,1.0752131502518507,1.0728019886972244,1.0655925455812827
2024-06-06,1.0895771116437878,0.011088039613403211,1.08835562632314,1.0871351562546954,1.0846972596452369,1.077407877938435
2024-06-07,1.1090336047432334,0.01785692163640684,1.107790307454935,1.1065480435481185,1.104066613609947,1.096647065985229
2024-06-10,1.1101153848563874,0.0009754259100240859,1.1088708748237,1.1076273991804817,1.1051435487912549,1.0977167639475431
2024-06-11,1.1118384579882619,0.0015521567896272792,1.1105920162808773,1.1093466105684966,1.1068589048540238,1.0994205924757918
2024-06-12,1.117449539527712,0.00504666977395507,1.1161968074406379,1.1149451165768922,1.1124448562331837,1.104969005148703
2024-06-13,1.1207793924482217,0.0029798687123867573,1.1195229273839964,1.118267506645808,1.1157597958545284,1.108261667715303
2024-06-14,1.126349055757208,0.004969455493663233,1.1250863467457668,1.1238246872500943,1.1213045145016465,1.113769124748347
2024-06-18,1.129063365734327,0.002409830206049346,1.1277976138085681,1.1265329139277338,1.124006667990872,1.1164531192277307
2024-06-19,1.1217552912871809,-0.00647268760012687,1.120497732178217,1.1192412183046188,1.1167313239685077,1.1092266669667825
2024-06-20,1.1219191976822973,0.00014611599908609385,1.1206614548238278,1.1194047573534494,1.1168944962816199,1.1093887427294393
2024-06-21,1.1174701636639637,-0.0039655565458943665,1.1162174084559195,1.1149656944904214,1.112465388000817,1.1049893989387667
2024-06-24,1.1204157528197036,0.0026359443424259776,1.1191596954186565,1.1179046820048122,1.1153977848464622,1.1079020894933402
2024-06-25,1.1217815950387418,0.001219049460524646,1.1205240064415978,1.1192674631043285,1.11675750991435,1.1092526769378512
2024-06-26,1.1241496447176484,0.0021109721262853043,1.122889401386029,1.1216302055207994,1.1191149538895988,1.1115942784198742
2024-06-27,1.1305743298715452,0.005715151167005272,1.1293068840587785,1.1280404916988302,1.1255108650243342,1.1179472077574222
2024-06-28,1.131333451053328,0.0006714473889293249,1.1300651542173796,1.128797911541588,1.1262665863558665,1.1186978504910319
2024-07-01,1.133850273788769,0.0022246515676680456,1.1325791554342766,1.1313090935850796,1.128772137082815,1.1211865634178735
2024-07-02,1.1316475377809685,-0.001942704481112889,1.1303788888337996,1.129111294339448,1.1265792663939491,1.1190084292569582
2024-07-03,1.1406033595380785,0.007913967430770219,1.1393246705444602,1.138047044348565,1.1354949780163717,1.127864225520855
2024-07-04,1.1427135649530653,0.0018500782040844488,1.1414325102848102,1.140152520380537,1.137595732526047,1.1299508625416577
2024-07-05,1.149132309043006,0.005617106759561619,1.1478440585539142,1.1465568788096978,1.1439857292048674,1.1362979171696128
2024-07-08,1.1502387699935213,0.0009628664530691999,1.1489492790912508,1.1476608599648395,1.1450872346863088,1.1373920203147476
2024-07-09,1.1576344425649867,0.0064296846571316735,1.1563366606428462,1.155039957387746,1.1524497845102488,1.1447050923369098
2024-07-10,1.1550452298946323,-0.002236641011317375,1.1537503506447626,1.152456547649342,1.1498721680587292,1.1421447979815251
2024-07-11,1.1548850155692612,-0.0001387082697927866,1.1535903159298517,1.1522966923956064,1.1497126712798147,1.1419863730527442
2024-07-12,1.1626475797089557,0.006721503903025505,1.1613441777408668,1.160041859110987,1.15744046948718,1.1496622389164202
2024-07-15,1.1697731084715695,0.0061287090662480725,1.1684617183320216,1.1671514181701477,1.1645340853861685,1.1567081843031903
2024-07-16,1.1719725578992362,0.0018802359292910964,1.1706587020368309,1.1693459382015143,1.1667236842143958,1.1588830685910225
2024-07-18,1.177794530623013,0.004967669835386657,1.1764741479584722,1.1751548627458497,1.172519582266699,1.1646400170536022
2024-07-19,1.161975473765045,-0.013431083645464303,1.1606728252705152,1.159371259487936,1.15677137368133,1.1489976395677
2024-07-22,1.1624776681169393,0.0004321901479271695,1.1611744566305642,1.1598723283240766,1.157271318872439,1.149494225027513
2024-07-23,1.1647322727682707,0.0019394821192424416,1.1634265337265202,1.1621218799654653,1.1595158259025045,1.1517236485231261
2024-07-24,1.1602349499374456,-0.0038612502941436366,1.1589342526809543,1.1576346365146177,1.155038645078674,1.147276555246494
2024-07-25,1.1615563213076605,0.0011388825774349964,1.160254142709725,1.1589530464331796,1.1563540984678182,1.148583168526764
2024-07-26,1.1841391251437863,0.01944185006087551,1.1828116297847973,1.1814852377895286,1.1788357614675087,1.1709137502717069
2024-07-29,1.1849751619277198,0.0007060291870957247,1.1836467293182618,1.1823194008515308,1.1796680539218969,1.1717404495549701
2024-07-30,1.186320159470554,0.0011350428144385472,1.184990219033208,1.1836613839918384,1.1810070276699234,1.1730704251326245
2024-07-31,1.1941069357986898,0.0065638067986730775,1.1924051626219265,1.1907053164567927,1.1873113986567816,1.1771757245791707
2024-08-01,1.1979503120255912,0.003218619800018807,1.196243061487986,1.194537744164328,1.1911329026332862,1.1809646056744028
2024-08-02,1.1807529969275612,-0.014355616360207213,1.1790702550237049,1.1773894185813174,1.1740334556490626,1.1640111308603576
2024-08-05,1.1523055600954553,-0.02409262301779369,1.1506633598579246,1.1490230191742983,1.145747910191832,1.135967049496023
2024-08-06,1.1496364218746933,-0.0023163458662308622,1.1479980255408944,1.1463614844536298,1.1430939617563165,1.1333357569167481
2024-08-07,1.1654943349041222,0.013793850584143508,1.1638333387760973,1.1621742234856005,1.1588616290684197,1.1489688210093252
2024-08-08,1.1534657612720511,-0.010320576661628,1.1518219075819,1.150179915317949,1.1469015087854,1.1371108002102783
2024-08-09,1.1674298139841095,0.012106170101363611,1.1657660595215638,1.1641041890199606,1.1607860935402667,1.1508768569817218
2024-08-12,1.1666037114877197,-0.00070762497795962,1.164941134339389,1.163280439818862,1.1599646923064095,1.1500624677711657
2024-08-13,1.1600520724461232,-0.005615993654984552,1.1583988323205083,1.1567474642498718,1.1534503379544108,1.1436037242493267
2024-08-14,1.156324036698237,-0.0032136796583839278,1.1546761095567841,1.153030048454125,1.1497435180663704,1.1399285482234547
2024-08-16,1.1762757247407043,0.01725440915285059,1.1745993635900989,1.1729249006756837,1.1695816631479257,1.1595973417995176
2024-08-19,1.1790037827817483,0.0023192334787367486,1.1773235337582402,1.1756451873733749,1.1722941960972149,1.162286718776473
2024-08-20,1.1876253729558182,0.0073126060322961095,1.1859328369331648,1.1842422174624014,1.1808667217072213,1.1707860636474554
2024-08-21,1.1943351860877602,0.005649772465910141,1.1926330876216884,1.1909329165355889,1.1875383499974324,1.1774007385133223
2024-08-22,1.1987421282967528,0.0036898705324324155,1.1970337493077077,1.1953273048104172,1.1919202127612216,1.181745194803227
2024-08-23,1.2005585440704085,0.0015152681554928549,1.1988475764290838,1.1971385462107877,1.1937262915035067,1.183535855664819
2024-08-26,1.208350216931929,0.0064900399068448245,1.2066281450423328,1.2049080231497178,1.2014736227732141,1.1912170505992652
2024-08-27,1.2078556796126114,-0.0004092665457313682,1.2061343125094288,1.2044148946051596,1.2009818998138346,1.1907295253117502
2024-08-28,1.2093096503752598,0.0012037619950711065,1.2075862111557791,1.2058647234815825,1.202427596181599,1.1921628802607298
