Strategy,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown
Benchmark: Buy Hold,0.24347239863396175,0.1609277421471167,0.15463169988344466,0.717367410632682,-18.205560234958963
Benchmark: Equal Weight,0.25260663130978944,0.1667607471521848,0.14993264887920327,0.7787546476702071,-17.262955523286262
Strategy: ARIMA_GARCH_GMIR,0.17587681954568413,0.1200909295325987,0.14854586897809582,0.4718470464024423,-19.665175933895483
Strategy: ARIMA_GARCH_GMV,0.2091030039178674,0.14215306646443948,0.14222063376158753,0.6479584855381876,-16.24779400961065
Strategy: XGBOOST_GMIR,0.15592902540978226,0.10675582985703724,0.1486501017781009,0.3818082139073147,-19.713390122365848
Strategy: XGBOOST_GMV,0.2104937333591601,0.14307251367507456,0.1397916557671013,0.6657944865474462,-16.440314418385448
