,Absolute Return (%),Annualized Return (%),Annualized Volatility (%),Max Drawdown (%),Sharpe Ratio,Sortino Ratio,Information Ratio,Modified IR,Mean Stocks (75% coverage),Mean Stocks (90% coverage)
ARIMA-GARCH GMIR,17.113303405254342,6.709611906959911,11.28791307401217,-19.88921599453186,0.1889447835181268,0.1920021741458859,,0.20052267102263754,30.24469820554649,34.92659053833605
ARIMA-GARCH GMV,20.980975761578314,8.144493905830362,10.876253167766253,-17.34829287632751,0.31467377493247806,0.3319439711291763,,0.35155408751166844,35.68352365415987,41.8026101141925
