Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BEL.NS,BHARTIARTL.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHRIRAMFIN.NS,SUNPHARMA.NS,TATACONSUM.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TRENT.NS,ULTRACEMCO.NS,WIPRO.NS
2023-01-02,3835.77294921875,809.3815307617188,4423.0927734375,2960.424560546875,939.112060546875,3354.876708984375,1549.94873046875,649.482177734375,96.99723815917969,805.2925415039062,1053.40234375,191.78086853027344,3325.227294921875,842.0237426757812,3158.603515625,1708.456298828125,949.3045654296875,1571.2562255859375,564.937744140625,2534.72900390625,481.1322937011719,2468.927001953125,887.4425048828125,1199.7232666015625,1447.4925537109375,306.7289123535156,763.9899291992188,1821.5521240234375,2053.996826171875,1230.78076171875,8247.0615234375,1901.165283203125,154.96142578125,132.8082733154297,144.1076202392578,1180.5860595703125,1232.5806884765625,578.9995727539062,272.80596923828125,968.3508911132812,743.430908203125,390.21832275390625,110.62044525146484,3146.697021484375,930.0238037109375,2541.474609375,1338.1015625,6944.83642578125,192.22250366210938
2023-01-03,3825.537353515625,807.5606079101562,4459.38671875,2941.965576171875,959.7574462890625,3380.92578125,1560.4315185546875,654.6849975585938,97.09398651123047,809.3511962890625,1058.2713623046875,191.22621154785156,3345.291259765625,842.6798095703125,3143.538330078125,1694.394287109375,951.0398559570312,1581.530517578125,589.9998168945312,2538.928955078125,474.0691833496094,2453.14892578125,886.3607788085938,1214.0062255859375,1446.115234375,305.11627197265625,756.6979370117188,1829.337158203125,2053.50537109375,1217.574951171875,8226.8935546875,1917.2742919921875,154.59246826171875,132.0137939453125,144.47618103027344,1171.9466552734375,1260.759765625,579.188720703125,265.68951416015625,980.103271484375,748.1608276367188,389.3287658691406,109.87833404541016,3194.841552734375,943.1979370117188,2588.871826171875,1343.3355712890625,6920.73974609375,194.17872619628906
2023-01-04,3821.642822265625,797.2747192382812,4402.1904296875,2930.890625,954.9202880859375,3335.0703125,1545.3062744140625,651.191650390625,95.54591369628906,803.6097412109375,1049.418701171875,185.2957305908203,3387.242919921875,845.6920166015625,3145.29931640625,1667.9971923828125,946.7017822265625,1553.26416015625,592.9715576171875,2528.5693359375,455.8927307128906,2447.406982421875,884.1481323242188,1196.5438232421875,1419.75830078125,301.3379821777344,725.5588989257812,1817.26025390625,2035.4178466796875,1204.8074951171875,8266.19921875,1897.1175537109375,153.6700897216797,129.10073852539062,141.42718505859375,1154.3013916015625,1251.4661865234375,572.3790893554688,261.4964599609375,975.2468872070312,743.3821411132812,381.1251220703125,107.37372589111328,3198.025146484375,939.9735107421875,2572.9736328125,1303.456298828125,6932.36767578125,190.5841827392578
2023-01-05,3824.38916015625,806.7239379882812,4397.97021484375,2918.746826171875,947.0410766601562,3399.183349609375,1466.4361572265625,604.5201416015625,96.70697021484375,798.9570922851562,1070.5172119140625,186.14901733398438,3413.17333984375,854.440185546875,3186.825439453125,1675.8917236328125,953.5513305664062,1543.279052734375,603.7196044921875,2582.56005859375,460.0417175292969,2493.34228515625,864.5299682617188,1189.451171875,1401.142333984375,307.2818298339844,739.7489013671875,1816.8111572265625,2051.932861328125,1220.83984375,8303.7861328125,1922.0072021484375,156.7139434814453,129.32144165039062,139.91943359375,1152.239013671875,1260.0142822265625,572.2845458984375,259.8330078125,986.9992065429688,744.9425048828125,382.40997314453125,108.11582946777344,3194.600341796875,932.0045166015625,2537.859130859375,1276.0391845703125,6934.0,189.21482849121094
2023-01-06,3818.846923828125,793.4359741210938,4356.662109375,2893.5361328125,937.4166870117188,3418.990234375,1427.99951171875,592.6626586914062,95.73941802978516,787.9691162109375,1058.7138671875,182.82115173339844,3386.601806640625,849.3204956054688,3179.88037109375,1658.42529296875,943.2313232421875,1538.166015625,605.89892578125,2559.6015625,457.02874755859375,2486.34619140625,855.6304321289062,1156.2384033203125,1375.78271484375,308.7562255859375,717.724853515625,1783.37548828125,2051.146240234375,1232.77880859375,8227.1875,1932.6251220703125,155.88380432128906,130.07180786132812,139.45034790039062,1162.7115478515625,1261.406005859375,568.0759887695312,254.8623046875,979.7147827148438,742.50439453125,377.5668640136719,107.28096008300781,3098.55322265625,908.5120239257812,2514.086181640625,1244.3851318359375,6909.45849609375,186.81846618652344
2023-01-09,3849.85302734375,803.8202514648438,4376.77001953125,2899.122314453125,956.2168579101562,3398.808349609375,1411.676513671875,593.9461059570312,96.7553482055664,811.133056640625,1069.6318359375,183.41845703125,3410.856201171875,861.6972045898438,3191.5703125,1651.5177001953125,974.8764038085938,1541.15673828125,602.72900390625,2568.74755859375,465.0303649902344,2532.281494140625,858.8263549804688,1192.1904296875,1409.927978515625,311.5208435058594,731.5205688476562,1808.4273681640625,2085.69970703125,1277.0745849609375,8221.2509765625,1952.106689453125,157.17514038085938,130.7779541015625,140.12046813964844,1190.164794921875,1298.481201171875,574.7435913085938,259.5770568847656,987.6304321289062,747.9658203125,384.930419921875,109.04347229003906,3203.138916015625,935.321044921875,2461.1416015625,1216.0706787109375,6961.56005859375,191.61119079589844
2023-01-10,3641.747314453125,783.888427734375,4435.306640625,2876.00048828125,949.63427734375,3355.111572265625,1410.9776611328125,585.1062622070312,95.93292999267578,784.8508911132812,1061.0252685546875,184.95440673828125,3452.61083984375,852.6905517578125,3098.63720703125,1629.2159423828125,971.5885009765625,1512.986572265625,594.5565795898438,2531.135986328125,471.7477111816406,2551.388916015625,847.0259399414062,1200.897216796875,1395.9659423828125,307.23577880859375,734.3291015625,1792.108642578125,2070.905029296875,1281.5089111328125,8138.95947265625,1946.1053466796875,154.91529846191406,131.8372344970703,141.92977905273438,1172.5654296875,1294.7537841796875,562.8742065429688,262.5890197753906,982.774169921875,750.2088623046875,408.1082763671875,110.2493896484375,3170.76953125,923.713134765625,2444.847412109375,1219.9588623046875,6848.203125,192.22250366210938
2023-01-11,3630.6630859375,783.9375610351562,4330.00146484375,2856.618896484375,947.2406005859375,3321.17724609375,1397.3997802734375,584.2738037109375,96.94886016845703,757.8263549804688,1030.4349365234375,182.09580993652344,3363.481689453125,847.3621215820312,3068.996337890625,1613.476318359375,963.3235473632812,1534.7894287109375,594.2098388671875,2514.056884765625,484.98492431640625,2502.55859375,851.8936157226562,1186.90771484375,1397.390625,305.76129150390625,743.1978149414062,1798.396484375,2089.287841796875,1279.2674560546875,8130.4208984375,1920.2869873046875,153.1627655029297,129.5862579345703,142.03025817871094,1157.78466796875,1283.52197265625,564.3401489257812,262.7071228027344,998.4600830078125,740.5051879882812,413.3467712402344,110.2493896484375,3211.581298828125,927.1217651367188,2414.3388671875,1207.0479736328125,6948.79443359375,192.61375427246094
2023-01-12,3642.047119140625,780.4926147460938,4329.15625,2832.86572265625,933.078125,3351.450439453125,1385.5194091796875,584.5364990234375,96.17481231689453,749.2636108398438,1043.762939453125,182.52247619628906,3258.824462890625,857.0447998046875,3035.73583984375,1620.7293701171875,978.7122192382812,1542.9896240234375,592.7734985351562,2514.5234375,479.7492980957031,2499.47021484375,846.3375854492188,1182.896728515625,1406.271240234375,303.96435546875,752.3128051757812,1776.08935546875,2123.104248046875,1286.3822021484375,8213.595703125,1931.4588623046875,153.07052612304688,129.01248168945312,143.06895446777344,1132.783203125,1307.7747802734375,562.6377563476562,258.40576171875,1003.1707153320312,735.5801391601562,407.4657897949219,109.55365753173828,3217.0322265625,922.6995849609375,2423.451904296875,1205.8515625,7078.82568359375,192.931640625
2023-01-13,3715.892578125,782.1659545898438,4305.12646484375,2826.259033203125,931.6818237304688,3384.305419921875,1388.864013671875,592.405029296875,96.70697021484375,756.5889282226562,1050.2547607421875,183.5464630126953,3304.57177734375,858.9932250976562,3093.2568359375,1633.26171875,984.32861328125,1544.1956787109375,598.8161010742188,2546.44189453125,482.5646667480469,2532.23291015625,858.9247436523438,1207.5985107421875,1428.1640625,302.9506530761719,757.2891235351562,1776.8878173828125,2116.86181640625,1294.422607421875,8296.23046875,1922.8189697265625,154.77694702148438,129.71865844726562,143.4040069580078,1130.9500732421875,1305.0413818359375,567.5556640625,252.6083221435547,1001.9566650390625,734.2636108398438,406.7245178222656,111.73360443115234,3255.81787109375,924.1737060546875,2394.330078125,1201.7640380859375,7173.3798828125,192.63819885253906
